1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
121	alors est ce que c' est pas <eps> facteur de zizanie de discorde au sein d' un mouvement	est-ce <eps> <eps> que c' est pas un facteur de zizanies de discorde au sein d' un mouvement	_
122	non je pense que au vingt et unième siècle c' est la grande réussite d' un parti politique que de savoir à des moments clés	non je pense qu' au vingt et unième siècle c' est la grande réussite d' un parti politique que de savoir à des moments clés	_
123	de son histoire et de sa reconstruction de s' ouvrir et de permettre au au peuple des adhérents c' est quand même l' ump le premier parti de france c' est trois cents mille adhérents	<eps> son histoire et de sa reconstruction de s' ouvrir et de permettre au <eps> peuple des adhérents c' est quand même l' ump le premier parti de france et <eps> trois cents milles adhérents	_
124	(n) recensés pour le vote du dix huit novembre prochain et de leur dire vous avez le choix	<eps> recensés pour le vote du dix huit novembre prochain et de leur dire vous avez le choix	_
125	sur le plan programmatique de choisir des valeurs autour desquelles vous souhaitez qu' on reconstruise la droite de demain qu' est ce que vous voulez	sur le plan programmatique de choisir des valeurs autour desquelles vous souhaitez qu' on reconstruisent la droite de demain qu' est ce que vous voulez	_
126	pour l' europe plutôt l' europe fédérale ou plutôt comme nous une europe politique pragmatique qui réhabilitique réhabilite pardon l' idée de frontière est ce que pour vous le patriotisme c' est ringard ou terriblement moderne pour nous	<eps> l' europe plutôt l' europe fédérale ou plutôt comme nous une europe politique pragmatique qui réhabiliter réhabilite pardon l' idée de frontière est ce que pour vous le patriotisme c' est ringard <eps> terriblement moderne pour nous	_
127	c' est extraordinairement moderne qu' est ce que vous voulez sur les questions de de justice <eps> nous nous ce que nous souhaitons par exemple c' est supprimer les remises de peine	<eps> est extraordinairement moderne qu' est ce que vous voulez sur les questions de de justice régalienne nous nous ce que nous souhaitons par exemple c' est supprimer les remises de peine	_
128	automatiques allez encore plus vite et plus loin sur les questions des valeurs que tous ce que nous avons abordé ces cinq dernières années	automatique aller encore plus vite et plus loin sur les questions des valeurs que tout ce que nous avons abordé ces cinq dernières années	_
129	mais pour l' instant ni françois fillon ni jean françois copé incarne ces valeurs	<eps> pour l' instant ni françois fillon ni jean-françois <eps> copé incarne ses valeurs	_
130	c' est deux choix différents les les hommes et geoffroy vient de le dire vous avez un congrès des hommes vous choisirez	<eps> est un choix différent les les hommes <eps> geoffroy vient de le dire vous avez un congrès des hommes vous choisiriez	_
131	mais les courants ont été initiés au sein de l' ump pour permettre aux adhérents de choisir des idées et des idées fortes autour de la droite	<eps> les courants ont été initié au sein de l' ump pour permettre aux adhérents de choisir des idées et des idées fortes autour de la <eps>	_
132	geoffroy didier vous parliez du front national le front national vous a répondu c' est steeve briois qui est le secrétaire national du front national qui explique que le droite forte c' est l' arnaque de l' été en fait c' est une pitoyable resucée <eps> de la droite populaire	crois didier vous parliez du front national le front national vous a répondu ces <eps> steeve briois qui est le secrétaire général du front national qui explique la <eps> droite forte c' est l' arnaque de l' été en fait c' est une pitoyable reçu ces de la droite populaire	_
133	mais vous dites qu' ils nous ont répondu mais nous on leur a pas parlé	<eps> vous dites qu' ils nous ont répondu mais nous on leur a pas parlé	_
134	nous on parle aux français on <eps> <eps> parle aux électeurs on parle au coeur du peuple militant et justement	<eps> on parle aux français par zola je parle aux électeurs on parle au coeur du peuple militant et justement	_
135	nous reprochons à certains à l' ump d' avoir trop parlé du front national mais voila que depuis hier c' est à dire depuis la création de notre mouvement avec guillaume c' est le front national qui parle de l' ump comme quoi il y a eu une bonne évolution dans le bon sens	<eps> reprochons à certains à l' ump d' avoir trop parlé du front national mais voilà que depuis hier c' est à dire depuis la création de notre mouvement avec guillaume c' est le front national qui parle de l' ump comme quoi il y a <eps> une bonne évolution dans le bon sens	_
136	et alors cette idée que vous seriez une resucée de <eps> la droite populaire	<eps> alors cette idée que vous seriez une reçu c' est la droite populaire	_
137	non mais c' est la encore pourquoi ces vieux réflexes de <eps> se comparer à tel et tel nous on est <eps> pas là pour et (n)	<eps> mais c' est <eps> encore assez <eps> vieux réflexe de coups se comparer à ce que vous allez vous lui demandez pas la question que la réponse	_
138	et (n) qu' il la cherche lui même nous ce qui nous intéresse	parce <eps> qu' ils la cherchent lui-même <eps> nous <eps> qui nous intéresse	_
139	c' est pas de se comparer à tel ou tel c' est de dire voilà	<eps> est pas <eps> se comparer à tel ou tel c' est de dire voilà	_
140	nous sommes une génération de trentenaires nous avons été fiers d' accompagner nicolas sarkozy contrairement parfois à certains de nos aînés et nous	<eps> sommes une génération de trentenaires nous avons été fier d' accompagner nicolas sarkozy contrairement parfois à certains de nos aînés et nous	_
141	regardons devant et pour demain pour reconstruire la droite autour des valeurs qui sont les nôtres comme le patriotisme la réforme de la justice l' interdiction je vous donne une piste de réflexion là l' interdiction de la syndicalisation par exemple des juges et des magistrats qui selon nous n' est pas normal dans notre pays	regardons devant et pour demain pour reconstruire la droite autour des valeurs qui sont les nôtres comme le patriotisme la réforme de la justice l' interdiction je vous donne une piste de réflexion <eps> l' interdiction de la syndicalisation par exemple des juges et des magistrats qui selon nous n' est pas normal dans notre pays	_
142	combien de troupes	combien de troupes	_
143	vous le verrez en septembre	vous le verrez en septembre	_
144	en septembre	<eps> septembre	_
145	<eps> vous savez lorsqu' on avance avec humilité lorsque l' on a un objectif c' est celui de parler vraiment au coeur du peuple militant moi j' imagine qu' il y a beaucoup de d' élus qui ont cette valeur en partage et qui nous rejoindrons	peux vous avez lorsqu' on avance avec humilité lorsque <eps> on a un objectif c' est celui de parler vraiment au coeur du peuple militant moi j' imagine qu' il y a beaucoup <eps> d' élus qui ont cette valeur en partage et qui nous rejoindrons	_
146	pendant que la droite l' ump se se se parle à elle même si j' ose dire	<eps> que la droite l' ump se se se parle à elle même si j' ose dire	_
147	puisque y a cette présidence ce congrès alors est ce que les les	c' est le président sur le congrès <eps> <eps> <eps> <eps> les élus	_
148	français vont pas être un peu orphelins de	ne vont pas être un peu orphelins de	_
149	de d' un simplement d' un discours de l' opposition parce que aujourd'hui <eps> <eps> y a beaucoup de questions qui se posent la crise les destructions d' emplois en france et on entend beaucoup les les responsables de l' ump se se parler entre eux soit en se critiquant soit en se soutenant	<eps> d' un simplement d' un discours de l' opposition parce que aujourd' hui il y a beaucoup de questions qui se pose la crise les destructions d' emplois en france et on entend beaucoup les les responsables de l' ump se se parler entre-eux <eps> soit en se critiquant soit on se soutenant	_
150	vous savez on on est plus on sera plus fort demain si on est capable justement d' être très clair sur les valeurs	<eps> savez on on est plus on sera plus fort demain si on est capable justement d' être très clair sur les valeurs	_
151	qu' on veut voir portées regardez ce qui avait été le cas au sein du parti socialiste au moment des des primaires nous on a plein de choses à dire sur la dette sur l' europe on vient de l' évoquer sur la question de de peugeot avec le	<eps> on veut voir porter regardez ce qui avait été le cas au sein du parti socialiste au moment des des primaires nous on a plein de choses à dire sur la dette sur l' europe on vient de l' évoquer sur la question de de peugeot avec <eps>	_
152	patriotisme industriel	patriotique <eps>	_
153	avec regardez <eps> <eps> on ira beaucoup plus loin que nos aînés nous nous souhaitons voir la suppression des trente cinq heures mais véritablement nous souhaitons par exemple la refonte complète <eps> <eps> <eps> <eps> nous souhaitons la refonte complète du code du travail parce que on ne peut pas continuer comme avant et c' est ça qu' on va proposer aux français	<eps> regardez pour nous on a beaucoup plus loin que nos aînés nous <eps> souhaitons bravent la suppression des trente cinq heures b véritablement nous souhaitons par exemple un rocher sarkozy n' ont jamais voulu nous souhaitons la refonte complète du code du travail parce que on ne peut pas continuer comme avant et c' est ça quoi <eps> <eps> proposer aux français	_
154	et quand vous voyez la refiscalisation des heures supplémentaires quand vous voyez que la gauche s' apprête	<eps> quand vous voyez la refiscalisation des heures supplémentaires quand vous voyez que la gauche s' apprêtent	_
