BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
LE QUARTIER SOUTIENT EN EFFET LES OPPOSANTS DES SUNNITES COMME EUX QUI VEULENT METTRE FIN A PLUS DE DIX ANS DE RÉPRESSION	LE QUARTIER SOUS QUIT EN EFFET LES OPPOSANTS PUISSE UNIQUES COMME EUX QUI VEULENT METTRE FIN À PLUS DE DIX AN EN EFFET LES OPPOSANTS PLUS UNIS COMME EUX QUI VEULENT METTRE FIN À PLUS DE DIX ANS DE REPRESSION
LE RÉGIME SYRIEN A ATTEINT UN NIVEAU EXTRÊME DE CRUAUTÉ DE MEURTRE	L'ORIGINE SYRIEN ATTEINT AU NIVEAU EXTRÊME DE LA CRUAUTÉ ET DEMEURUM
POUR CETTE RAISON NOUS VOULONS SA FIN	POUR CETTE RAISON NOUS VOULONS SA FORME ALLEMANDE
LE CONFLIT SYRIEN EST TRÈS PRÉSENT ICI À TRIPOLI CAR LES DEUX CAMPS SE FONT FACE EN CONTREBAS CES IMMEUBLES SOUTIENNENT L' OPPOSITION QUELQUES MÈTRES PLUS HAUT DANS CETTE RUE C' EST LE PORTRAIT DE BACHAR AL ASSAD QUI EST BRANDI	LE CONFLIT SÉRIEN ET TRÈS PRÉSENT ICI À TRIPOLIKA LES DEUX CAMPS EN FACE EN CONTRE BAS SES IMMEUBLES SOU TIENNENT L'OPPOSITION QUELQUES MÈTRES PLUS HAUTS DANS CETTE RUE C'EST LE PORTRAIT DE BACHAR À LA SALLE QUI EST BRANDIT
ALORS ICI LES AFFRONTEMENTS SONT FRÉQUENTS CES IMPACTS SUR CET IMMEUBLE LE PROUVENT ALI FADAH EST ALAOUITE IL REPRÉSENTE UN PARTI PRO SYRIEN POUR LUI FAIRE TOMBER BACHAR AL ASSAD SERAIT UNE MENACE POUR LE LIBAN	ALORS ICI LES AFFRONTENTS SONT FRÉQUENTS SES IMPACTS SUR CET IMMEUBLE LE PROUVENT ALIFALA ÉTALA WITYL REPRÉSENTE UN PARTI PRO SYRIEN POUR LUI FAIRE TOMBER BACHA AL ASSADE SERAIT UNE MENACE POUR LE LIBAN
CELA A UN IMPACT SUR LA RELATION ENTRE LA SYRIE ET LE LIBAN QUI DURE DEPUIS DES ANNÉES ON COOPÈRE ON EST DEUX VOISINS DONC NOTRE ZONE NE DOIT PAS ÊTRE UNE ROUTE POUR ATTAQUER LA SYRIE ET CE QU' ILS FONT EST UNE INTERVENTION DANS UN PROBLÈME SYRIEN	FRASE BONABERT DE CELA A UN IMPACT SUR LA RELATION ENTRE LA SYRIE ET LE LIBAN QUI DURE DEPUIS DES SOUS ZONES NE DOIT PAS ÊTRE UNE ROUTE POUR ATTAQUER LA SYRIE ET CE QU'ILS FONT EST UNE INTERVENTION DANS UN PROBLÈME SYRIEN
MAIS CERTAINS HABITANTS REGRETTENT CETTE TENSION	MAIS CERTAINS HABITANTS REGRETTENT CETTE TENSION
ET NOUS C' EST PAREIL ON EST PAS HEUREUX ET EUX NON PLUS ON DOIT VRAIMENT TROUVER UNE SOLUTION	MAIS NOS SÉPAREILLES MALHEUREUX ET EU N'ONT PLUS GLACÉ QU'ELLE S'EST PAREILLE MAIS PAS HEUREUX AYEZ NON PLUS GLACÉE
A TRIPOLI L' ARMÉE TRÈS PRÉSENTE TENTE DONC DE GARDER UN CALME TOUJOURS PRÉCAIRE	A TRIPOLI L'ARMÉE TRÈS PRÉSENTE TENTE DONC DE GARDER UN CALME TOUJOURS PRÉCAIRE
LES JEUX OLYMPIQUES J MOINS TROIS LES ANNEAUX OLYMPIQUES EN GUISE DE COMITÉ D' ACCUEIL	LES JEUX OLYMPIQUES JUMENT À TROYES LES AN OLYMPIQUES EN GUISE DE COMITÉ D'ACCUEILS LES AN OLYMPIQUES EN GUISE DE COMITÉ D'ACCUEIL LES ANOLYMPIQUES EN GUISE DE COMITÉ D'ACCUEIL LES ANOLYMPIQUES EN GUISE
ET LA GARE DE SAINT PANCRAS QUI MARQUE LA FIN DE LA GRANDE TRANSHUMANCE DES ATHLÈTES FRANÇAIS UN GROS CONTINGENT	LA GARDE SAINT PANCRASE QUI MARQUE LA FIN DE LA GRANDE TRANSUMANCE DES ATHLÈTES FRANÇAIS UN GROS CONTINGENT
A DÉBARQUÉ VOUS RECONNAISSEZ LAURE MANAUDOU IL Y A ÉGALEMENT YANNICK AGNEL QUI EST PRÉSENT LE GRAND QUI EST LÀ DES SPORTIFS QUI POURRAIENT BIEN FAIRE LE VOYAGE RETOUR AVEC UNE MÉDAILLE DANS LES BAGAGES LA DÉLÉGATION DES NAGEURS EST OFFICIELLEMENT À LONDRES	A DÉBARQUER RECONNAISSAIT LEUR MANODOU NIÉGALEMENT YANNICKANIEL QUI PRÉSENT LE GRAND QU'IL A DES SPORTIVES QUI POURRAIT BIEN FAIRE LE VOYAGE RETOUR AVEC UNE MÉDAILLE DANS LES BAGAGES
(H) LE VOYAGE S' EST BIEN PASSÉ ET JE SUIS ATTENDUE DONC JE RÉPONDRAI PLUS TARD SI C' EST POSSIBLE	IL S'ATTENDRIE DANS L'ÉCOLE PLUS TARD S'ÉPRESSIF
BELLE AMBIANCE LA MARSEILLAISE DÈS QU' ON ARRIVE C' EST SYMPA ÇA FAIT PLAISIR ON VA ARRIVER CET APRÈS MIDI AU VILLAGE	DE L'AMBIANCE LA MARSEILLAISE RECONNARISE ET SAVA CETTE PLAISIR VARIE S'APRÈS MIDI AU VILLAGE
ÇA VA VRAIMENT LANCER LES JEUX OLYMPIQUES ET ET NOUS METTRE DANS L' AMBIANCE ET ON A VRAIMENT HÂTE DE DE POUVOIR PERFORMER ICI	ÇA VRAIMENT SES JEUX OLYMPIQUES ÉLEVÉS DANS L AMBIANCE EN AVALDRA DEVANT FERME ICI
ON Y EST MAINTENANT DERNIÈRE DERNIER JOUR DE LIGNE DROITE DONC ON VA PAUFINER TOUS LES PETITS DÉTAILS ET VOILA ÇA FAIT SUPER PLAISIR DE D' ARRIVER D' ENTENDRE LA MARSEILLAISE LES ANNEAUX ET TOUT ÇA ON EST Y A PLUS QU' À	ON Y EST À PANS DERNIÈRES DERNIÈRES DERNIÈRES DERNIÈRES DERNIÈRES DERNIÈRES DERNIÈRES DERNIÈRES
VOILA Y A PLUS QU' À Y A PLUS QU' À JETER UN OEIL SUR LE TEMPS DE DEMAIN MATIN ON VA DÉCOUVRIR ENSEMBLE VOILÀ	EN LA YAPULCA Y A PLUS CACHÉ AU CIRCUIT SUR LE TEMPS DE DEMAIN MATIN EN REDÉCOUVRIR ENSEMBLE MOI LÀ
NO COMMENT IL Y A DEUX PETITS NUAGES POUR LA RÉGION NIÇOISE ET LA CORSE LE RESTE C' EST FORMIDABLE ET LES TEMPÉRATURES TRÈS DOUCES VOUS ALLEZ LE VOIR DÈS LE LEVER DU JOUR TREIZE À LILLE SEIZE À PARIS ET BAYONNE DIX SEPT À LYON ET VINGT DEGRÉS À BASTIA	NO COMMENT Y ADOPTINUAGES POUR LA RÉGION NIÇOISE ET LA CORSE LE RESTE ET FORMIDABLE ET LES TEMPÉRATURES TRÈS À LILLE SEIZE APPAREILS BAYONNES DIX SEPT ALLIONS ET VIN DEGRÉ À BASTIA
MERCI DAMIEN GOURLET ON VOUS RETROUVE À	MERCI DAMIENS GOURLÉ ON VEUT RETROUVA
DIX HUIT HEURES TRENTE APRÈS	DIX HUIT CENT TRENTE APRÈS
LA DROITE POPULAIRE APRÈS LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNES POUSSES DE L' UMP	LA DROITE POPULAIRE APRÈS LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNES POUSSES DE L UMP
GUILLAUME PELTIER ET GEOFFROY DIDIER LANCENT CE NOUVEAU MOUVEMENT DE QUOI S' AGIT IL JE LES AI INVITÉS POUR EN PARLER GEOFFROY DIDIER BONSOIR GUILLAUME PELTIER BONSOIR VOUS ÊTES TOUS DEUX SECRÉTAIRES NATIONAUX À L' UMP	GUILLAUME PELLETIER GEOFFROY DIDIER LANCE CE NOUVEAU MOUVEMENT DE QUOI S AGITI JE LES INVITÉS POUR EN PARLER GEOFFROY DIDIER BONSOIR GEOSCOATIER BONSOIR ET TOUS DEUX SECRÉTAIRES NATIONAUX À L UMP
GUILLAUME PELTIER VOUS AVEZ NOTAMMENT PARTICIPÉ EN TANT QUE PORTE PAROLE À LA CAMPAGNE DE NICOLAS SARKOZY GEOFFROY DIDIER ON VOUS VOIT SOUVENT À CÔTÉ DE BRICE HORTEFEUX VOUS ÊTES DONC DEUX JEUNES SARKOZISTES ALORS SI J' AI BIEN COMPRIS LA DROITE FORTE ÇA RAPPELLE LA FRANCE FORTE C' EST LA CONTINUITÉ	GUILLAUME BETTY VOUS AVEZ NOTAMMENT PARTICIPÉ EN TANT PORTE PAROLE À LA CAMPAGNE DE NICOLAS SARKOZY GEOFFREY ON VOIT SOUS UN CÔTÉ BRISSORTEUX VOUS EST DONC DEUX JEUNES SARKOSISTES ALORS SI J'AICOMPRIS LA DROITE FORTE SA RAPPELLE LA FRANCE PORTE C'EST LA CONTINUITÉ
C' EST DANS UN DANS DANS UN PROLONGEMENT AVEC GEOFFROY QUI A ÉTÉ AUSSI L' UN DES COORDINATEURS DE LA SEULE RIPOSTE QUI AVAIT BEAUCOUP TRAVAILLÉ TOUT AU LONG DE LA CAMPAGNE PRÉSIDENTIELLE	C'EST DANS UN AN DANS UN PROLONGEMENT AVEC GEOFFROY QUI ÉTAIT AUSSI L'UN DES COORDINATEURS DE LA SEULE RIPOSTE QU'AVAIT BEAUCOUP TRAVAILLÉ TOUT AU LONG DE LA CAMPAGNE PRÉSIDENTIELLE
ON A SOUHAITÉ D' ABORD ASSUMER	ON A SOUHAITÉ D ABORD ASSUMER
DE MANIÈRE TOTALEMENT DÉCOMPLEXÉE LE SARKOZYSME	DE MANIÈRE TOTALEMENT DÉCOMPLEXÉ LE SARKOZYSME
REPOUSSER	REPOUSSÉ
CE DROIT D' INVENTAIRE QU' ON ENTEND ICI OU LÀ	CE DROIT D'INVENTAIRE QU'ON ENTEND L'ISSUE LÀ
PARFOIS DE MANIÈRE TROP FORTE DANS NOTRE DANS NOTRE CAMP ASSUMER LE SARKOZYSME COMME FONDATION DE LA DROITE DE DEMAIN ET PARLER ÉVIDEMMENT D' AVENIR NOUS QUI AVONS UN PEU PLUS DE TRENTE ANS	PARFOIS DE MANIÈRE TROP FORTE DANS NOTRE DANS NOTRE CAMP ASSUMAIENT LE SARCODISME COMME FONDATION DE LA DROITE DE DEMAIN ET PARLER ÉVIDEMMENT D AVENIR NOUS QUI AVONS ALORS LE TRENTE ANS
MAIS C' EST QUOI LE SARKOZYSME PARCE QUE NICOLAS SARKOZY C' EST AVANT TOUT UN HOMME PRAGMATIQUE EST CE QU' ON PEUT DÉFINIR UNE LIGNE DE PENSÉE DE SARKOZY	MAIS C'EST QUOI LE SARKOZYS PASSE QUE NICOLAS SARKOZYSTE AVANT TOUT UN HOMME PRAGMATIQUE EST CE QU'ON PEUT DÉFINIR LES LIGNES DE FRANÇAIS DE SARKOS
C' EST LA PREMIÈRE FOIS QUE QUE L' UMP EST DANS L' OPPOSITION DEPUIS SA CRÉATION	C'EST LA PREMIÈRE FOIS QUE QUE LUMPE DANS L'OPPOSITION PUIS SA CRÉATION
DONC LA DROITE SE RETROUVE AUJOURD'HUI FACE À ELLE MÊME DONC NOUS ESTIMONS QUE LA DROITE N' A PAS ÉTÉ SUFFISAMMENT SÛRE DE SES VALEURS ET SUFFISAMMENT COMBATIVE SUR LA FORME DONC NOUS AVONS UNE DOUBLE URGENCE	LE CADRA SE RETROUVE AUJOURD'HUI FACE À ELLE MÊME NON QUE NOUS ESTIMONS QUE LA DROITE N'A PAS ÉTÉ SUFFISAMMENT SÛRE DE CES VALEURS ET SUFFISAMMENT COMBATTIVES SUR LA FORME DONC NOUS AVONS UNE DOUBLE URGENCE
D' UNE DROITE PLUS DÉCOMPLEXÉE ET C' EST VRAI QUE NICOLAS SARKOZY A LARGEMENT CONTRIBUÉ À DÉCOMPLEXER LA DROITE	D'UNE DROITE PLUS DÉCOMPLEXÉE ET CE REMIGRÉ SARKOZY A LARGEMENT CONTRIBUÉ À DES COMPLICES
DROITE DÉCOMPLEXÉE	ELLE EST DÉCONDEXÉE
C' EST UNE DROITE QUI ARRÊTE DE PARLER DU FRONT NATIONAL	C'EST UNE DROITE QUI ARRÊTE DE PARLER DU FOND NATIONAL
C' EST UNE DROITE QUI EST SÛRE DE SES VALEURS ET NOS VALEURS QUELLES SONT ELLES C' EST L' AMOUR DE LA FRANCE	C'EST UNE DROITE QUI SÛRE DE CES VALEURS ET UNE VALEUR QU'ILS SONT ELLES SI L'AMOUR DE LA FRANCE
C' EST LE RESPECT DE NOS FRONTIÈRES C' EST LA RÉCOMPENSE DU MÉRITE C' EST LA PRIORITÉ AU TRAVAIL CE SONT TOUTES CES VALEURS QUI SONT LE COEUR DU PEUPLE MILITANT DE DROITE	SI LE RESPECT DE NOS FRONTIÈRES C'EST LA RÉCOMPENSE DU MÉRITE ET LA PRIORITÉ AU TRAVAIL SONT TOUTES CES VALEURS QUI SONT LE CH UR DU PEUPLE MILITANT DE DROITE
EU DE CESSE DE NOUS EXCUSER MAIS LE RÔLE D' UN PARTI POLITIQUE CE N' EST PAS D' ÊTRE OBSÉDÉ PAR UN AUTRE TROP SOUVENT L' UMP A PARLÉ DU FRONT NATIONAL NOUS VOULONS PARLER	UNE CESSE DE VOUS EXCUSEZ ET LE RÔLE D'UN PARTI POLITIQUE CE N'EST PAS D'ÊTRE OBSÉDÉ PAR UN AUTRE TROP SOUVENT LUMPÉE À PARLER DU FRONT NATIONAL NOUS VOULONS PARLÉR
DE NOS VALEURS CES VALEURS SONT FORTES ET CES VALEURS NOUS DEVONS LES INCARNER LES PROMOUVOIR	DE NOS VALEURS CES VALEURS SONT FORTES ET CES VALEURS NOUS DEVONS LISE INCARNER LES PROMOUVOIRS
ET LES BRANDIR AVEC LA MÊME FORCE AVEC LAQUELLE NOUS AVONS BRANDI LE DRAPEAU TRICOLORE À VILLEPINTE À LA CONCORDE OU AU TROCADÉRO	IL EST BRANDIR AVEC LA MÊME FORCE AVEC LAQUELLE NOUS AVONS PRENDIT LE DRAPEAU TRICOLORE AVIS PEINTE À LA CONCOURS D AUTRES
NON MAIS PENSER QUE QUAND MÊME ÇA SÈME LE LE TROUBLE ON A L' IMPRESSION QUE VOUS ÊTES LÀ POUR PRÉPARER LE RETOUR DE NICOLAS SARKOZY	KANSASSEM LE TROUVE EN À L'ABRESSION QUE VOUS ÊTES LÀ POUR PRÉPARER LE RETOUR NICOLAS SARKOZY
NON MAIS (F) ÇA C' EST UN TRUC DE DE JOURNALISTES NON MAIS PARCE QU' ON MAIS PARCE QUE D' ABORD VOUS SAVEZ C' EST TRÈS SIMPLE ON A ÉTÉ TRÈS FIER D' ACCOMPAGNER NICOLAS SARKOZY TOUT AU LONG DU QUINQUENNAT ET TOUT AU LONG DE LA CAMPAGNE PRÉSIDENTIELLE DE DEUX MILLE DOUZE NON MAIS	NOMMÉE QUINZE ET UN TROUPE DE DE JOURNALISTES DONT L'ENSOLEILLEMENT L'ENDROIT DE FORT MAIS VASCORDE MÉPASSANT FACILEMENT FOSSÉS TRÈS SIMPLE ON A ÉTÉ TRE S FIER D'ACCOMPAGNER NICOLAS SARKOZY TOTOLON DU QUIN KEINEC TOUT AU LONG N'AILLEURS PAS D'EXPÉRIENCE LES YEUX DE LIRE D'AUTRES AMIES
ÇA C' EST SON CHOIX ET C' EST SON DROIT MAIS ON A LE DROIT DE S' INSPIRER DE CE QUI A MARCHÉ DE CES VALEURS FORTES DE CETTE FIERTÉ D' ÊTRE NOUS MÊME VOUS SAVEZ	FACER SON CHOIX ET FAIT SON DROIT ET ON A DROIT DE S'INSPIRER DE SKIA MARCHÉ DE CES VALEURS FORTS DE CETTE FIERTÉ D'ÉTRUP NOUVELLES SAVÉES
JE VAIS VOUS DIRE SOUS JACQUES CHIRAC FAUT ÊTRE HONNÊTE LA DROITE N' ASSUMAIT PAS TOUJOURS SES VALEURS AVEC NICOLAS SARKOZY IL A DÉCOMPLEXÉ LES VALEURS QU' A ÉVOQUÉ	JE VOUS DIRE SOUS JACQUES CHIRA QUI FA TONNERRE LA DROITE N ASSUMAIT PAS TOUJOURS CES VALEURS AVEC NICOLAS SARKOZY IL A DÉCOMPLEXÉ LES VALEURS QU A ÉVOQUÉE
JE COMPRENDS BIEN MAIS ÇA VA PAS DE SOI PUISQU' À À LA TÊTE DE L' UMP IL Y A JEAN FRANÇOIS COPÉ ET FRANÇOIS FILLON EST CANDIDAT À LA PRÉSIDENCE JEAN FRANÇOIS FILLON A ÉTÉ LE PREMIER MINISTRE DE NICOLAS SARKOZY QU' EST CE QUE VOUS APPORTEZ DE PLUS	ATTENDS SOI PUISQUE LA TÊTE DE VUES PAUVRES SOUS J EN PRENDS LOUIS FRANCOPHILLON ET CANDIDAT À LA PRÉSIDENCE J EN FONT FRANÇOIS ÉTAIT PRO MINISTRE NICOLAS SARKOZY QU EST CE QU ILS ATTENTAIENT DE PLUS
NON MAIS Y A DEUX CHOSES	L'ARMÉE Y A DEUX CHOSES
POUR NOUS LE DIX HUIT NOVEMBRE IL Y A UN CONGRÈS	POUR NOUS DISAIT NOVEMBRE ET UN CONGRÈS
ET DANS LE CONGRÈS Y A DEUX CONGRÈS LE CONGRÈS DES HOMMES QUI EST LÉGITIME ENTRE FRANÇOIS FILLON ET JEAN FRANÇOIS COPÉ ET LE CONGRÈS DES IDÉES	MÉDANT QU'ONRI Y A DE CONGRÈS LE CONGRÈS DES HOMMES QUI LÉGITIMES ENTRE FRANÇOIS FLORIS EN FRANÇOIS COPPÉE ET LE CONGRÈS DES IDÉES
ET NOUS ON SOUHAITE AVEC GEOFFROY ET BEAUCOUP DE DE MILITANTS DE RESPONSABLES DANS LES DÉPARTEMENTS DE PARLEMENTAIRES	ET NON SOUHAITE AVEC GEOFFROY ET BEAUCOUP DE DE MILITANTS DE REÇOIT DANS LES DÉPARTEMENTS DE PARLEMENTAIRE
D' AFFIRMER HAUT ET FORT LES IDÉES POUR PERMETTRE DE RECONSTRUIRE LA DROITE DE DEMAIN AUTOUR DES VALEURS QUE GEOFFROY VIENT D' A() VIENT D' ANNONCER	D'AFFIRMER HORIFORT LES IDÉES POUR PERMETTRE DE RECONSTRUIRE LA DROIT DE DEMAIN AUTOUR DES VALEURS QUE J'OFFRE DIERA VIADANO
QUEL EST VOTRE CANDIDAT À LA PRÉSIDENCE DE L' UMP	CHEZ LES HAUTES CANDIDATS À PRISONN VIMPE
MAIS CE N' EST CE N' EST PAS NOTRE	MAIS SLEPS N'EST PAS D'AUTRE
PRIORITÉ NOUS SOMMES NOUS SOMMES	PRIS RIFIANT NOUS SOMMES ÉLAN CHOISIR SOMME
MAIS PEUT ÊTRE QUE NOUS CHOISIRONS CHACUN À TITRE PERSONNEL EN TANT QUE MILITANT MAIS NOUS AVONS SURTOUT NOUS AVONS NOUS RESSENTONS SURTOUT SUR LE TERRAIN LE BESOIN	MAIS PEUT ÊTRE QUE TOUS AVONS NOUS RECENTONS SURTOUT SUR LE TERRAIN LE BESOIN NOUS AVONS NOUS RECENTONS SURTOUT SUR LE TERRAIN LE BESOIN
D' UNE DÉMARCHE IDÉOLOGIQUE ET DONC	D UNE DÉMARCHE IDÉOLOGIQUE ET DONC
NOUS AVONS ENVIE DE COMBATTRE POUR DES VALEURS PLUTÔT QUE DE DÉFENDRE UN LEADER	NOUS AVONS ENVIE DE COMBATTRE POUR DES VALEURS PLUTÔT QUE DE DÉFENDRE UN LEADER
VOILÀ NOTRE URGENCE ET VOILÀ AUJOURD'HUI L' URGENCE SI NOUS VOULONS RECONQUÉRIR LES TERRITOIRES	VOILÀ NOTRE URGENCE ET VOILÀ AUJOURD HUI L URGENCE NOUS VOULONS RECONQUÉRIR LES TERRITOIRES
EN DEUX MILLE QUATORZE ET DANS LES ANNÉES SUIVANTES ET PUIS IL Y A CERTAINS AU SEIN DE L' UMP QUI SE LAMENTENT SUR LE PASSÉ	EN DEUX MILLE QUATORZE ET DANS LES ANNÉES SUIVANTES ET PUISA CERTAINS AU SEIN DE L UMP QUI SE L AMANT SUR LE PASSÉ
AVEC DES DROITS D' INVENTAIRES INUTILES NOUS NOUS ESTIMONS QUE LA CHANCE AUJOURD'HUI QUE NOUS AVONS C' EST D' ÊTRE FACE À DE VRAIS CHOIX IDÉOLOGIQUES ET BIEN CES CHOIX IDÉOLOGIQUES NOUS VOULONS LES AFFIRMER LES PROMOUVOIR ET LES BRANDIR HAUT ET FORT	AVEC DES DROITS D'INVENTAIRES INUTILES NOUS NOUS VOULONS LES AFFIRMER LES PROMOUVOIRS ET LES BRANDIR
DONC VOUS VALIDEZ DONC LA DÉCISION DE CRÉER DES MOUVEMENTS	VOUS VALIDEZ DONC À LA DÉCISION DE DE CRÉER DES MOUVEMENTS
AU SEIN DE L' UMP	AU SEIN DE MISE EN SÉRIE
À JEAN FRANÇOIS COPÉ D' AVOIR JUSTEMENT PRIS CETTE INITIATIVE	JEAN FRANÇOIS COPPÉ D'AVOIR JUSTEMENT PRIS CET INITIAT
ALORS EST CE QUE C' EST PAS FACTEUR DE ZIZANIE DE DISCORDE AU SEIN D' UN MOUVEMENT	ALORS QUE C'EST PAS FACTEUR DE ZIZANI DE DISCORDE AU SEIN D'UN MOUVEMENT
NON JE PENSE QUE AU VINGT ET UNIÈME SIÈCLE C' EST LA GRANDE RÉUSSITE D' UN PARTI POLITIQUE QUE DE SAVOIR À DES MOMENTS CLÉS	NANGE PENSECO VINT UNION SEXER LA GRANDE RÉUSSITE D'UN PARTI POLITIQUE DE SAVOIE À DES MOMENTS CLÉS
DE SON HISTOIRE ET DE SA RECONSTRUCTION DE S' OUVRIR ET DE PERMETTRE AU AU PEUPLE DES ADHÉRENTS C' EST QUAND MÊME L' UMP LE PREMIER PARTI DE FRANCE C' EST TROIS CENTS MILLE ADHÉRENTS	DE SON HISTOIRE DE SA RECONSTRUCTION LE S OUVRIT ET DE PERMETTRE AU PEUPLE DES ADHÉRENCÉS COMME GLUMPELLES PREMIERS PARTIS DE FRANCE ET TROIS CENT MILLE ADHÉRENTS
(N) RECENSÉS POUR LE VOTE DU DIX HUIT NOVEMBRE PROCHAIN ET DE LEUR DIRE VOUS AVEZ LE CHOIX	UN RECENSÉ POUR LE VOIE DU DIX NEUVIÈME PROCHAIN ET BLORDY VOUS AVEZ LE CHOIX
SUR LE PLAN PROGRAMMATIQUE DE CHOISIR DES VALEURS AUTOUR DESQUELLES VOUS SOUHAITEZ QU' ON RECONSTRUISE LA DROITE DE DEMAIN QU' EST CE QUE VOUS VOULEZ	SUR LE PLAN PROGRAMMATIQUE DE CHOISIR DES VALEURS AUTOUR DESQUELS FAUTE QU'ON RECONSTRUISENT LA DROITE DE DEMAIN QU'EST CE QUE VOUS VOULEZ
POUR L' EUROPE PLUTÔT L' EUROPE FÉDÉRALE OU PLUTÔT COMME NOUS UNE EUROPE POLITIQUE PRAGMATIQUE QUI RÉHABILITIQUE RÉHABILITE PARDON L' IDÉE DE FRONTIÈRE EST CE QUE POUR VOUS LE PATRIOTISME C' EST RINGARD OU TERRIBLEMENT MODERNE POUR NOUS	POUR LE ROI PLUTÔT L'EUROPE FÉDÉRALE OU PLUTÔT COMME NON EUROPE POLITIQUE PRAGMATIQUE QUI RÉHABILITTE RÉHABILE PARDON L'IDÉE DE FRONTIÈRES EST CE QUE POUR VOUS LE PATRIOTISME C'EST RHAGAR AU TERRIBLEMENT MODERNE POUR NOUS
C' EST EXTRAORDINAIREMENT MODERNE QU' EST CE QUE VOUS VOULEZ SUR LES QUESTIONS DE DE JUSTICE NOUS NOUS CE QUE NOUS SOUHAITONS PAR EXEMPLE C' EST SUPPRIMER LES REMISES DE PEINE	C EST EXTRAORDINAIREMENT MODERNE QU EST CE QUE VOUS VOULEZ SUR LES QUESTIONS DE DE JUSTICE REGALIENNE NOUS NOUS SOUHAITONS PAR EXEMPLE C EST SUPPRIMER LES REMISES DE PEINE
AUTOMATIQUES ALLEZ ENCORE PLUS VITE ET PLUS LOIN SUR LES QUESTIONS DES VALEURS QUE TOUS CE QUE NOUS AVONS ABORDÉ CES CINQ DERNIÈRES ANNÉES	AUTOMATIQUE ALLAIT ENCORE PLUS VITE ET PLUS LOIN SUR LES QUESTIONS DES VALEURS QUE TOUT CE QUE NOUS AVONS ABORDÉ CETTE DERNIÈRE ANNÉE
MAIS POUR L' INSTANT NI FRANÇOIS FILLON NI JEAN FRANÇOIS COPÉ INCARNE CES VALEURS	MAIS POUR L'INSTANT NI FRANÇOIS FILLON NI JEAN FRANÇOIS COPPÉ INCARNE SES VALEURS
C' EST DEUX CHOIX DIFFÉRENTS LES LES HOMMES ET GEOFFROY VIENT DE LE DIRE VOUS AVEZ UN CONGRÈS DES HOMMES VOUS CHOISIREZ	VOUS ÊTES UN CHOIX DIFFÉRENT MAIS LES HOMMES VOUS CHOISIR
MAIS LES COURANTS ONT ÉTÉ INITIÉS AU SEIN DE L' UMP POUR PERMETTRE AUX ADHÉRENTS DE CHOISIR DES IDÉES ET DES IDÉES FORTES AUTOUR DE LA DROITE	MAIS LES COURANTS ONT ÉTÉ INITIÉS AU SEIN DU YAMBÉ POUR PERMETTRE AUX ADHÉRENTS DE CHOISIR DES IDÉES ET DES IDÉES FORTES AUTANT DE LA
GEOFFROY DIDIER VOUS PARLIEZ DU FRONT NATIONAL LE FRONT NATIONAL VOUS A RÉPONDU C' EST STEEVE BRIOIS QUI EST LE SECRÉTAIRE NATIONAL DU FRONT NATIONAL QUI EXPLIQUE QUE LE DROITE FORTE C' EST L' ARNAQUE DE L' ÉTÉ EN FAIT C' EST UNE PITOYABLE RESUCÉE DE LA DROITE POPULAIRE	JE PRÉSIDEZ VOUS PARLER DU FRONT NATIONAL LOFRO NATIONAL VOUS A RÉPONDU CE STYLE BRIOAC ET LE SECRÉTAIRE GÉNÉRAL DU FRONT NATIONAL QUI EXPLIQUE QUE LA DROITE FORCE L'ARMÉE DE L'ÉTÉ EMPLACAIT UNE PITOYABLE REFUSÉE DE LA DROITE POPULAIRE
MAIS VOUS DITES QU' ILS NOUS ONT RÉPONDU MAIS NOUS ON LEUR A PAS PARLÉ	MAIS VOUS DITES QU ILS ONT RÉPONDU MAIS NON LEUR A PAS PARLÉ
NOUS ON PARLE AUX FRANÇAIS ON PARLE AUX ÉLECTEURS ON PARLE AU COEUR DU PEUPLE MILITANT ET JUSTEMENT	NON PARLE FRANÇAIS ELLE SERVICE DE LA GIRAGE AUX ÉLECTEURS ON PARLE AU C UR DU PEUPLE MILITANT ET JUSTEMENT
NOUS REPROCHONS À CERTAINS À L' UMP D' AVOIR TROP PARLÉ DU FRONT NATIONAL MAIS VOILA QUE DEPUIS HIER C' EST À DIRE DEPUIS LA CRÉATION DE NOTRE MOUVEMENT AVEC GUILLAUME C' EST LE FRONT NATIONAL QUI PARLE DE L' UMP COMME QUOI IL Y A EU UNE BONNE ÉVOLUTION DANS LE BON SENS	NOUS REPROCHONS À CERTAINS À L UMP D'AVOIR TROP PARLÉ DU FRONT NATIONAL MAIS VOILÀ QUE DEPUIS HIER SERT DEPUIS LA CRÉATION D'AUTRES MOUVEMENTS AVEC GUILLAUME S'ILS FONT NATIONAL QUI PARLE DE L UMP COMME TOYER UNE BONNE ÉVOLUTION DANS LE BON SEANCE
