BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	SONT NÉCESSAIRES FEMMES SOURIS EN DIRECT JUSQU À À DIX NEUF HEURES
LE CONFLIT SYRIEN EST TRÈS PRÉSENT ICI À TRIPOLI CAR LES DEUX CAMPS SE FONT FACE EN CONTREBAS CES IMMEUBLES SOUTIENNENT L' OPPOSITION QUELQUES MÈTRES PLUS HAUT DANS CETTE RUE C' EST LE PORTRAIT DE BACHAR AL ASSAD QUI EST BRANDI	LE CONFLIT SYRIEN EST TRÈS PRÉSENT ICI À TRIPOLI QUART ET DEUX CAMPS SE FONT FACE EN CONTREBAS CES IMMEUBLES SOUTIENNENT L OPPOSITION QUELQUES MÈTRES PLUS HAUT DANS CETTE RUE C EST LE PORTRAIT DE BACHARAL ASSAD QUI EST BRANDIT
ALORS ICI LES AFFRONTEMENTS SONT FRÉQUENTS CES IMPACTS SUR CET IMMEUBLE LE PROUVENT ALI FADAH EST ALAOUITE IL REPRÉSENTE UN PARTI PRO SYRIEN POUR LUI FAIRE TOMBER BACHAR AL ASSAD SERAIT UNE MENACE POUR LE LIBAN	ALORS ICI LES AFFRONTEMENTS SONT FRÉQUENTS SES IMPACTS SUR CET IMMEUBLE LE PROUVE ALIPHALA ET ALAWIT IL REPRÉSENTE UN PARTI PROSYRIEN POUR LUI FAIRE TOMBER BACHA AL ASSADE SERAIT UNE MENACE POUR LE LIBAN
CELA A UN IMPACT SUR LA RELATION ENTRE LA SYRIE ET LE LIBAN QUI DURE DEPUIS DES ANNÉES ON COOPÈRE ON EST DEUX VOISINS DONC NOTRE ZONE NE DOIT PAS ÊTRE UNE ROUTE POUR ATTAQUER LA SYRIE ET CE QU' ILS FONT EST UNE INTERVENTION DANS UN PROBLÈME SYRIEN	ON PASSE BONNE À VERRE DE CELA À UN IMPACT SUR LA RELATION ENTRE LA SYRIE ET LE LIBAN QUI DURE DEPUIS DES ANNÉES MON GRAND PÈRE EN EST DEUX VOISINS DANS UN AUTRE ZONE NE DOIT PAS ÊTRE UNE ROUTE POUR ATTAQUER LA SYRIE ET CE QU ILS FONT EST UNE INTERVENTION DANS UN PROBLÈME SYRIEN
MAIS CERTAINS HABITANTS REGRETTENT CETTE TENSION	CERTAINS HABITANTS REGRETTENT CETTE TENSION
ET NOUS C' EST PAREIL ON EST PAS HEUREUX ET EUX NON PLUS ON DOIT VRAIMENT TROUVER UNE SOLUTION	IL NOUS SÉPAREILLE MAIS N EST PAS HEUREUX RAYONNANT PLUS GLACIER CARNETEL NE DOIT PAS MON TROUVER UNE SOLUTION NON NON NON PAS L ANGLAIS
A TRIPOLI L' ARMÉE TRÈS PRÉSENTE TENTE DONC DE GARDER UN CALME TOUJOURS PRÉCAIRE	À TRIPOLI L ARMÉE TRÈS PRÉSENTE TENTE DONC DE GARDER UN CALME TOUJOURS PRÉCAIRE
LES JEUX OLYMPIQUES J MOINS TROIS LES ANNEAUX OLYMPIQUES EN GUISE DE COMITÉ D' ACCUEIL	LES JEUX OLYMPIQUES GI MOINS TROIS LES ANAUX OLYMPIQUES EN GUISE DE COMITÉ D ACCUEIL OLYMPIQUES GI MOINS TROIS LES ANAUX OLYMPIQUES EN GUISE DE COMITÉ D ACCUEIL OLYMPIQUES GI MOINS TROIS LES ANAUX OLYMPIQUES EN GUISE DE COMITÉ
ET LA GARE DE SAINT PANCRAS QUI MARQUE LA FIN DE LA GRANDE TRANSHUMANCE DES ATHLÈTES FRANÇAIS UN GROS CONTINGENT	LA GARE DE SAINT PANCRACE QUI MARQUAIT LA FIN LA GRANDE TRANSHUMANCE DES ATHLÈTES FRANÇAIS UN GROS CONTINGENT
A DÉBARQUÉ VOUS RECONNAISSEZ LAURE MANAUDOU IL Y A ÉGALEMENT YANNICK AGNEL QUI EST PRÉSENT LE GRAND QUI EST LÀ DES SPORTIFS QUI POURRAIENT BIEN FAIRE LE VOYAGE RETOUR AVEC UNE MÉDAILLE DANS LES BAGAGES LA DÉLÉGATION DES NAGEURS EST OFFICIELLEMENT À LONDRES	ADEMARKER RECONNAISSAIT L HORMANODOUILLE ÉGALEMENT YANNICKANYL QUI PRÉSENTE LE GRAND KILADE SPORTIF QUI POURRAIT BIEN FAIRE LE VOYAGE RETOUR AVEC UNE MÉDAILLE DANS LES BAGAGES LA DÉLÉGATION DES NAGEURS EST OFFICIELLEMENT À LONDRES
(H) LE VOYAGE S' EST BIEN PASSÉ ET JE SUIS ATTENDUE DONC JE RÉPONDRAI PLUS TARD SI C' EST POSSIBLE	SES PASSÉS S ATTENDUAIENT ENCORE S IMPOSSIBLE
BELLE AMBIANCE LA MARSEILLAISE DÈS QU' ON ARRIVE C' EST SYMPA ÇA FAIT PLAISIR ON VA ARRIVER CET APRÈS MIDI AU VILLAGE	DE L ANDÉROS LA MARSEILLAISE ÉCONOMIE ET SES SOLDATS S APPLIQUÈRENT PAR ILUSSE APRÈS MIDI AU VILLAGE
ÇA VA VRAIMENT LANCER LES JEUX OLYMPIQUES ET ET NOUS METTRE DANS L' AMBIANCE ET ON A VRAIMENT HÂTE DE DE POUVOIR PERFORMER ICI	ÇA REMONNANT SES JEUX OLYMPIQUES IL MET DANS L ENDUR S EN AVALERA DE DROIT PERFORMATION
ON Y EST MAINTENANT DERNIÈRE DERNIER JOUR DE LIGNE DROITE DONC ON VA PAUFINER TOUS LES PETITS DÉTAILS ET VOILA ÇA FAIT SUPER PLAISIR DE D' ARRIVER D' ENTENDRE LA MARSEILLAISE LES ANNEAUX ET TOUT ÇA ON EST Y A PLUS QU' À	EN DERNIÈRES DERNIERS JOURNAUX
VOILA Y A PLUS QU' À Y A PLUS QU' À JETER UN OEIL SUR LE TEMPS DE DEMAIN MATIN ON VA DÉCOUVRIR ENSEMBLE VOILÀ	ON LA YA PLUS QU ELLE EST PLUS CACHÉE AUSSI NEUF SUR LE TEMPS DE DEMAIN MATIN EN REDÉCOUVER ENSEMBLE VOILÀ
NO COMMENT IL Y A DEUX PETITS NUAGES POUR LA RÉGION NIÇOISE ET LA CORSE LE RESTE C' EST FORMIDABLE ET LES TEMPÉRATURES TRÈS DOUCES VOUS ALLEZ LE VOIR DÈS LE LEVER DU JOUR TREIZE À LILLE SEIZE À PARIS ET BAYONNE DIX SEPT À LYON ET VINGT DEGRÉS À BASTIA	NO COMENTIA D OPTINUAGE POUR LA RÉGION NIÇOISE ET LA CORSE LE RESTE ET FORMIDABLE ET LES TEMPÉRATURES TRÈS DOUZE VOUS ALLEZ VOIR DÉLOVER DU JOUR TREIZE À LILLE CESSA PARIER BAYONNE DIX SEPT ALLIONS ET VINGT DEGRÉS À BASTIA
MERCI DAMIEN GOURLET ON VOUS RETROUVE À	MERCI D AMIR GOURLAN VOTRE MAADE
DIX HUIT HEURES TRENTE APRÈS	DIX HUIT CENT TRENTE APRÈS
LA DROITE POPULAIRE APRÈS LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNES POUSSES DE L' UMP	LA DROITE POPULAIRE APRÈS LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNE POUSSE DE L UMP
GUILLAUME PELTIER ET GEOFFROY DIDIER LANCENT CE NOUVEAU MOUVEMENT DE QUOI S' AGIT IL JE LES AI INVITÉS POUR EN PARLER GEOFFROY DIDIER BONSOIR GUILLAUME PELTIER BONSOIR VOUS ÊTES TOUS DEUX SECRÉTAIRES NATIONAUX À L' UMP	GUILLAUME PELLETIER GEOFFROIDIER LANCE CE NOUVEAU MOUVEMENT DE QUOI S AGIT TI JE LES AI INVITÉS POINT PAR LES GEOFFROIS DIDIER BONSOIR YOS QUARTIER BONFOIRS ET TOUS DEUX SECRÉTAIRES NATIONAUX À L UMP
GUILLAUME PELTIER VOUS AVEZ NOTAMMENT PARTICIPÉ EN TANT QUE PORTE PAROLE À LA CAMPAGNE DE NICOLAS SARKOZY GEOFFROY DIDIER ON VOUS VOIT SOUVENT À CÔTÉ DE BRICE HORTEFEUX VOUS ÊTES DONC DEUX JEUNES SARKOZISTES ALORS SI J' AI BIEN COMPRIS LA DROITE FORTE ÇA RAPPELLE LA FRANCE FORTE C' EST LA CONTINUITÉ	GUILLAUME BETTY VOUS AVEZ NOTAMMENT PARTICIPÉ EN TANT PORTE PAROLE À LA CAMPAGNE DE NICOLAS SARKOZY JOFRADIER ON VOIT SOUVENT CÔTÉ BRISSORTEUX VOUS ÊTES DONC DEUX JEUNES SARCOSISTES ALORS SI J AI MA COMPRIS LA DROITE FORTE ÇA RAPPELLE LA FRANCE PORTE C EST LA CONTINUITÉ
C' EST DANS UN DANS DANS UN PROLONGEMENT AVEC GEOFFROY QUI A ÉTÉ AUSSI L' UN DES COORDINATEURS DE LA SEULE RIPOSTE QUI AVAIT BEAUCOUP TRAVAILLÉ TOUT AU LONG DE LA CAMPAGNE PRÉSIDENTIELLE	C EST DANS UN AN DANS UN PROLONGEMENT AVEC GEOFFROY QUI ÉTAIT AUSSI L UN DES COORDINATEURS D UN SEUL RIPOSTE QUI AVAIT BEAUCOUP TRAVAILLÉ TOUT AU LONG DE LA CAMPAGNE PRÉSIDENTIELLE
ON A SOUHAITÉ D' ABORD ASSUMER	ON A SOUHAITÉ D ABORD ASSUMÉE
DE MANIÈRE TOTALEMENT DÉCOMPLEXÉE LE SARKOZYSME	DE MANIÈRE TOTALEMENT DÉCOMPLEXÉE LE SARKOZYSME
REPOUSSER	REPOUSSÉS
CE DROIT D' INVENTAIRE QU' ON ENTEND ICI OU LÀ	CE DROIT D INVENTAIRE QU ON ENTEND ISIOLA
PARFOIS DE MANIÈRE TROP FORTE DANS NOTRE DANS NOTRE CAMP ASSUMER LE SARKOZYSME COMME FONDATION DE LA DROITE DE DEMAIN ET PARLER ÉVIDEMMENT D' AVENIR NOUS QUI AVONS UN PEU PLUS DE TRENTE ANS	PARFOIS DE MANIÈRE TROP FORTE D EN NOTRE DANS NOTRE CAMP ASSUMER LE SARCODISME COMME FONDATION DE LA DROIT DE DEMAIN ET PARLAIT ÉVIDEMMENT D AVENIR NOUO QUI AVON EU UN PEU PLUS TRENTE ANS
MAIS C' EST QUOI LE SARKOZYSME PARCE QUE NICOLAS SARKOZY C' EST AVANT TOUT UN HOMME PRAGMATIQUE EST CE QU' ON PEUT DÉFINIR UNE LIGNE DE PENSÉE DE SARKOZY	C EST QUOI LE SARKOZYS PASQUE NICOLAS SARKOZISTE AVANT TOUT UN HOMME PRAGMATIQUE EST CE QU ON PEUT DÉFINIR UNE MINUTE FONCÉ DE SARKOZY
C' EST LA PREMIÈRE FOIS QUE QUE L' UMP EST DANS L' OPPOSITION DEPUIS SA CRÉATION	C ÉTAIT LA PREMIÈRE FOIS QUE QUE L UMP DANS L OPPOSITION DEPUIS SA CRÉATION
DONC LA DROITE SE RETROUVE AUJOURD'HUI FACE À ELLE MÊME DONC NOUS ESTIMONS QUE LA DROITE N' A PAS ÉTÉ SUFFISAMMENT SÛRE DE SES VALEURS ET SUFFISAMMENT COMBATIVE SUR LA FORME DONC NOUS AVONS UNE DOUBLE URGENCE	NOCADRATE SE RETROUVE AUJOURD HUI FACE À ELLE MÊME NON QUE NOUS ESTIMONS QUE LA DROITE N A PAS ÉTÉ SUFFISAMMENT SUR DE CES VALEURS EST SUFFISAMMENT COMBATIVE SUR LA FORME DONT NOUS AVONS UNE DOUBLE URGENCE
D' UNE DROITE PLUS DÉCOMPLEXÉE ET C' EST VRAI QUE NICOLAS SARKOZY A LARGEMENT CONTRIBUÉ À DÉCOMPLEXER LA DROITE	D UNE DROITE PLUS DÉCOMPLEXÉE ET SE RÉPÈGRE SARKOZY A LARGEMENT CONTRIBUÉ À DES COMPÉTENCES
DROITE DÉCOMPLEXÉE	DÉCONVEXÉS
C' EST UNE DROITE QUI ARRÊTE DE PARLER DU FRONT NATIONAL	C EST UNE DROITE QUI ARRÊTE DE PARLER DU FRONT NATIONAL
C' EST UNE DROITE QUI EST SÛRE DE SES VALEURS ET NOS VALEURS QUELLES SONT ELLES C' EST L' AMOUR DE LA FRANCE	C EST UNE DROITE QUI EST SUR DE SES VALEURS ET NO VALEUR QU ELLES SONT ELLES C EST L AMOUR DE LA FRANCE
C' EST LE RESPECT DE NOS FRONTIÈRES C' EST LA RÉCOMPENSE DU MÉRITE C' EST LA PRIORITÉ AU TRAVAIL CE SONT TOUTES CES VALEURS QUI SONT LE COEUR DU PEUPLE MILITANT DE DROITE	C EST LE RESPECT DE NOS FRONTIÈRES ET LA RÉCOMPENSE DU MÉRITE C EST LA PRIORITÉ AU TRAVAIL SONT TOUTES CES VALEURS QUI SONT LE CŒUR DU PEUPLE MILITANT DE DROITE
EU DE CESSE DE NOUS EXCUSER MAIS LE RÔLE D' UN PARTI POLITIQUE CE N' EST PAS D' ÊTRE OBSÉDÉ PAR UN AUTRE TROP SOUVENT L' UMP A PARLÉ DU FRONT NATIONAL NOUS VOULONS PARLER	IL NE CESSE DE NOUS EXCUSER MAIS LE RÔLE D UN PARTI POLITIQUE CE N EST PAS D ÊTRE OBSÉDÉ PAR UN AUTRE TROP SOUVENT L UMP À PARLER DU FRONT NATIONAL NOUS VOULONS PARLER
DE NOS VALEURS CES VALEURS SONT FORTES ET CES VALEURS NOUS DEVONS LES INCARNER LES PROMOUVOIR	NOS VALEURS CES VALEURS SONT FORTES ET SES VALEURS NOUS DEVONS LES INCARNER L ÉPROMOUVOIR
ET LES BRANDIR AVEC LA MÊME FORCE AVEC LAQUELLE NOUS AVONS BRANDI LE DRAPEAU TRICOLORE À VILLEPINTE À LA CONCORDE OU AU TROCADÉRO	ILS BRANDIR AVEC LA MÊME FORCE AVEC LAQUELLE NOUS AVONS BRENTI LE DRAPEAU TRICOLORE AVIS PEINTE À LA CONCOURS D AUTRES CADEAUX DE CALIFORNIE AVEC LA MÊME FORCE AVEC LAQUELLE NOUS AVONS BRENTI LE DRAPEAU TRICOLORE AVIS PEINTE À LA CONCOURS D AUTRES CALIFORNIERS AVEC LA MÊME FORCE AVEC LAQUELLE NOUS AVONS BRENTI LE DRAPEAU
NON MAIS PENSER QUE QUAND MÊME ÇA SÈME LE LE TROUBLE ON A L' IMPRESSION QUE VOUS ÊTES LÀ POUR PRÉPARER LE RETOUR DE NICOLAS SARKOZY	CONS À SÈME LE TROUBLE ORNE À L IMPRESSION QUE VOUS ÊTES LÀ POUR PRÉPARER LE RETOUR NICOLAS SARKOZY
NON MAIS (F) ÇA C' EST UN TRUC DE DE JOURNALISTES NON MAIS PARCE QU' ON MAIS PARCE QUE D' ABORD VOUS SAVEZ C' EST TRÈS SIMPLE ON A ÉTÉ TRÈS FIER D' ACCOMPAGNER NICOLAS SARKOZY TOUT AU LONG DU QUINQUENNAT ET TOUT AU LONG DE LA CAMPAGNE PRÉSIDENTIELLE DE DEUX MILLE DOUZE NON MAIS	NON MAIS PASSÉ UN TROUPE DE DE JOURNALISTES DONT L ENSEMBLEMENT LA DROIT DE FORTE MÉRISCONTE N EST PAS TOUTEFOIS SEULEMENT FACE EST TRÈS SIMPLE ON A ÉTÉ TRÈS FIER D ACCOMPAGNER NICOLAS SARKOZY TOUT AU LONG DU QUINKENAÏ TOUT AU LONG N EST PAS INTÉRESSANT
ÇA C' EST SON CHOIX ET C' EST SON DROIT MAIS ON A LE DROIT DE S' INSPIRER DE CE QUI A MARCHÉ DE CES VALEURS FORTES DE CETTE FIERTÉ D' ÊTRE NOUS MÊME VOUS SAVEZ	FACILE SON CHOIX ET CES CENDROITS MAIS ON A DROIT DE S INSPIRER DE SKIA MARCHÉ DE SES MALHEURS FORTS DE CETTE FIERTÉ D ÊTRE LE MÊME S ALLÉE
JE VAIS VOUS DIRE SOUS JACQUES CHIRAC FAUT ÊTRE HONNÊTE LA DROITE N' ASSUMAIT PAS TOUJOURS SES VALEURS AVEC NICOLAS SARKOZY IL A DÉCOMPLEXÉ LES VALEURS QU' A ÉVOQUÉ	JE VOUS DIRE SOUS JACKIRA QU IL FAUT HONNÊTE LA DROITE N ASSUMEZ PAS TOUJOURS SES VALEURS AVEC NICOLAS SARKOZY IL A DÉCOMPLEXÉ LES VALEURS QU A ÉVOQUÉES
JE COMPRENDS BIEN MAIS ÇA VA PAS DE SOI PUISQU' À À LA TÊTE DE L' UMP IL Y A JEAN FRANÇOIS COPÉ ET FRANÇOIS FILLON EST CANDIDAT À LA PRÉSIDENCE JEAN FRANÇOIS FILLON A ÉTÉ LE PREMIER MINISTRE DE NICOLAS SARKOZY QU' EST CE QUE VOUS APPORTEZ DE PLUS	JE N AIME PAS L ATTENTION PUISQUE ÉTAIT DE LIEUTENANT VOTRE JEAN FRANÇOIS RENÉ FRANÇOIS FILLON ET CANDIDAT À LA RÉSIDENCE EUX J EN FAUDRANT S AVOIR ÉTÉ PROMISE DE LIGA SARKOZINE QU EST CE QUE CES SENTÉS DE PLUS
NON MAIS Y A DEUX CHOSES	IL Y A DEUX CHANGEMENTS
POUR NOUS LE DIX HUIT NOVEMBRE IL Y A UN CONGRÈS	POUR NOUS DIS UNE NOVEMBRE ET UN CONGRÈS
ET DANS LE CONGRÈS Y A DEUX CONGRÈS LE CONGRÈS DES HOMMES QUI EST LÉGITIME ENTRE FRANÇOIS FILLON ET JEAN FRANÇOIS COPÉ ET LE CONGRÈS DES IDÉES	METTANT CONGRÈS Y A DE CONGRÈS LE CONGRÈS DES HOMMES QUI EST LÉGITÉ ENTRE FRANÇOIS FILL JEAN FRANÇOIS COPET ET LE CONGRÈS DES IDÉES
ET NOUS ON SOUHAITE AVEC GEOFFROY ET BEAUCOUP DE DE MILITANTS DE RESPONSABLES DANS LES DÉPARTEMENTS DE PARLEMENTAIRES	LES NOMS SONT AVEC GEOFFROY ET BEAUCOUP DE DE MILITANTS DE RÉSOIR DANS LES DÉPARTEMENTS DE PARLEMENTAIRES
D' AFFIRMER HAUT ET FORT LES IDÉES POUR PERMETTRE DE RECONSTRUIRE LA DROITE DE DEMAIN AUTOUR DES VALEURS QUE GEOFFROY VIENT D' A() VIENT D' ANNONCER	D AFFIRMER O EFFORT LES IDÉES POUR PERMET DE RECONSTRUIRE LA DROITE DE DEMAIN AUTOUR DES VALEURS QUE JE PROVIE À LA VIANDE
QUEL EST VOTRE CANDIDAT À LA PRÉSIDENCE DE L' UMP	CANDIDAT À LA PRISON DU RIMPET
MAIS CE N' EST CE N' EST PAS NOTRE	MAIS CE N EST PIED PAS D AUTRES
PRIORITÉ NOUS SOMMES NOUS SOMMES	PRI ORIGINE À MOUSSON ZÉRO CHOISIES SOMMES
MAIS PEUT ÊTRE QUE NOUS CHOISIRONS CHACUN À TITRE PERSONNEL EN TANT QUE MILITANT MAIS NOUS AVONS SURTOUT NOUS AVONS NOUS RESSENTONS SURTOUT SUR LE TERRAIN LE BESOIN	MAIS PEUT ÊTRE NOUS CHOISIRONS CHACUN TITRE PERSONNEL EN TANT QUE MILITANT FORCÉMENT HEUREUSEMENT SURTOUT NOUS AVONS NOUS RESSENTONS SURTOUT SUR LE TERRAIN LE BESOIN
D' UNE DÉMARCHE IDÉOLOGIQUE ET DONC	D UNE DÉMARCHE IDÉOLOGIQUE EST DONC
NOUS AVONS ENVIE DE COMBATTRE POUR DES VALEURS PLUTÔT QUE DE DÉFENDRE UN LEADER	NOUS AVONS ENVIE DE COMBATTRE POUR DÉVALEUR PLUTÔT QUE DE DÉFENDRE UN LEADER
VOILÀ NOTRE URGENCE ET VOILÀ AUJOURD'HUI L' URGENCE SI NOUS VOULONS RECONQUÉRIR LES TERRITOIRES	VOILÀ NOTRE URGENCE ET VOILÀ AUJOURD HUI L URGENCE SI NE VOULANT RECONQUÉRIR LES TERRITOIRES
EN DEUX MILLE QUATORZE ET DANS LES ANNÉES SUIVANTES ET PUIS IL Y A CERTAINS AU SEIN DE L' UMP QUI SE LAMENTENT SUR LE PASSÉ	EN DEUX MILLE QUATORZE ET DANS LES ANNÉES SUIVANTES IL PUISA CERTAIN AU SEIN DE L UMP QUI SE L AMANT SUR LE PASSÉ
AVEC DES DROITS D' INVENTAIRES INUTILES NOUS NOUS ESTIMONS QUE LA CHANCE AUJOURD'HUI QUE NOUS AVONS C' EST D' ÊTRE FACE À DE VRAIS CHOIX IDÉOLOGIQUES ET BIEN CES CHOIX IDÉOLOGIQUES NOUS VOULONS LES AFFIRMER LES PROMOUVOIR ET LES BRANDIR HAUT ET FORT	AVEC DES DROITS D INVENTAIRE INUTILE NOUS NOUS ESTIMONS QUE LA CHANCE AUJOURD HUI QUE NOUS AVONS CES D ÊTRE FACE À DE VRAIS CHOIÉOLOGIQUES ET D UN SÉCHER IDÉOLOGIQUE NOUS VOULONS LES AFFIRMER LES PROMOUVOIRS ET LES BRONZIRS
DONC VOUS VALIDEZ DONC LA DÉCISION DE CRÉER DES MOUVEMENTS	DONC VOUS VALIDEZ DONC À LA DÉCISION DE DE CRÉER DES MOUVEMENTS
AU SEIN DE L' UMP	AU SEIN DE L ÉGENTARIEN
À JEAN FRANÇOIS COPÉ D' AVOIR JUSTEMENT PRIS CETTE INITIATIVE	UN JEAN FRANÇOIS COPPÉ D AVOIR JUSTEMENT PRIS CETTE INITIATTIATIATINT FRANÇOIS COPPÉ D AVOIR JUSTEMENT PRIS CETTE INITIATIVE
ALORS EST CE QUE C' EST PAS FACTEUR DE ZIZANIE DE DISCORDE AU SEIN D' UN MOUVEMENT	ALORS CE QUE C EST PAS FACTEUR DE ZIZANIE DE DISCORDE AU SEIN D UN MOUVEMENT
NON JE PENSE QUE AU VINGT ET UNIÈME SIÈCLE C' EST LA GRANDE RÉUSSITE D' UN PARTI POLITIQUE QUE DE SAVOIR À DES MOMENTS CLÉS	NON PENSE QUE VOUS VINGT TUNIMES EX ET LA GRANDE RÉUSSITE D UN PARTI POLITIQUE DE SAVOIR A DES MOMENTS CLÉS
DE SON HISTOIRE ET DE SA RECONSTRUCTION DE S' OUVRIR ET DE PERMETTRE AU AU PEUPLE DES ADHÉRENTS C' EST QUAND MÊME L' UMP LE PREMIER PARTI DE FRANCE C' EST TROIS CENTS MILLE ADHÉRENTS	DE SON HISTOIRE DE SA RECONSTRUCTION LE S OUVRIR EST DE PERMETTRE AU AU PEUPLE DES ADHÉRENCES COMME LUMPER LE PREMIER PARTI FRANÇAIS TROIS CENTS MILLE ADHÉRENTS
(N) RECENSÉS POUR LE VOTE DU DIX HUIT NOVEMBRE PROCHAIN ET DE LEUR DIRE VOUS AVEZ LE CHOIX	UN RECENSÉ POUR LE VOTE DU DIX NEUF VENTS PROCHAINS ÉBLORIT BOUSAVILLE CHOIX
SUR LE PLAN PROGRAMMATIQUE DE CHOISIR DES VALEURS AUTOUR DESQUELLES VOUS SOUHAITEZ QU' ON RECONSTRUISE LA DROITE DE DEMAIN QU' EST CE QUE VOUS VOULEZ	SUR LE PLAN PROGRAMMATIQUE DE CHOISIR LES VALEURS AUTOUR DES CANOUÈTES QU ON RECONSTRUISENT LA DROITE DE DEMAIN QU EST CE QUE VOUS VOULEZ
POUR L' EUROPE PLUTÔT L' EUROPE FÉDÉRALE OU PLUTÔT COMME NOUS UNE EUROPE POLITIQUE PRAGMATIQUE QUI RÉHABILITIQUE RÉHABILITE PARDON L' IDÉE DE FRONTIÈRE EST CE QUE POUR VOUS LE PATRIOTISME C' EST RINGARD OU TERRIBLEMENT MODERNE POUR NOUS	POUR LE RE PLUTÔT L EUROPE FÉDÉRALE OU PLUTÔT COMME NOUS EN EUROPE POLITIQUE PRAGMATIQUE QUI RÉHABILITÉ RÉABILER PARDON L IDÉE DE FRONTIÈRE ESQUE POUR VOUS LE PATRIOTISME C EST REGARD AU TERRIBLEMENT MODERNE POUR NOUS
C' EST EXTRAORDINAIREMENT MODERNE QU' EST CE QUE VOUS VOULEZ SUR LES QUESTIONS DE DE JUSTICE NOUS NOUS CE QUE NOUS SOUHAITONS PAR EXEMPLE C' EST SUPPRIMER LES REMISES DE PEINE	C EST EXTRAORDINAIREMENT MODERNE QU EST CE QUE VOUS VOULEZ SUR LES QUESTIONS DE DE JUSTICE RÉGALIENNE
AUTOMATIQUES ALLEZ ENCORE PLUS VITE ET PLUS LOIN SUR LES QUESTIONS DES VALEURS QUE TOUS CE QUE NOUS AVONS ABORDÉ CES CINQ DERNIÈRES ANNÉES	AUTOMATIQUE ALLAIT ENCORE PLUS VITE ET PLUS LOIN SUR LES QUESTIONS DES VALEURS QUE TOUT CE QUE NOUS AVONS ABORDÉ SES DERNIÈRES ANNÉES
MAIS POUR L' INSTANT NI FRANÇOIS FILLON NI JEAN FRANÇOIS COPÉ INCARNE CES VALEURS	MAIS POUR L INSTANIS FRANÇOIS FILLONNI JEAN PONSOIS COPPÉ INCARNE SES VALEURS
C' EST DEUX CHOIX DIFFÉRENTS LES LES HOMMES ET GEOFFROY VIENT DE LE DIRE VOUS AVEZ UN CONGRÈS DES HOMMES VOUS CHOISIREZ	C EST UN FOIS DIFFÉRENT LES LES HOMMES ET JE PROVIEN DE LE DIRE VOUS AVEZ UN CONGRÈS DES HOMMES VOUS CHOISIREZ
MAIS LES COURANTS ONT ÉTÉ INITIÉS AU SEIN DE L' UMP POUR PERMETTRE AUX ADHÉRENTS DE CHOISIR DES IDÉES ET DES IDÉES FORTES AUTOUR DE LA DROITE	MAIS LESCOURANTS ONT ÉTÉ INITIÉS AU SINGULAIS POUR PERMETTRE AUX ADHÉRENTS DE CHOISIR DES IDÉES ET DES IDÉES FORTES AUTOUR DE LA DROITE ONT ÉTÉ INITIÉS AU SINGULAIS POUR PERMETTRE AUX ADHÉRENTS DE CHOISIR DES IDÉES ET DES IDÉES FORTES AUTOUR DE LA DROITE ONT ÉTÉ INITIÉS AU SINGULAIS POUR PERMETTRE AUX ADHÉRENTS DE CHOISIR DES IDÉES ET DES IDÉES FORTES AUTOUR DE LA B
GEOFFROY DIDIER VOUS PARLIEZ DU FRONT NATIONAL LE FRONT NATIONAL VOUS A RÉPONDU C' EST STEEVE BRIOIS QUI EST LE SECRÉTAIRE NATIONAL DU FRONT NATIONAL QUI EXPLIQUE QUE LE DROITE FORTE C' EST L' ARNAQUE DE L' ÉTÉ EN FAIT C' EST UNE PITOYABLE RESUCÉE DE LA DROITE POPULAIRE	RESIDEZ VOUS PARLIER DU FRONT NATIONAL L OFFRE NATIONALE VOUS A RÉPONDU CESTIVE BRILLOAC ET LE SECRÉTAIRE GÉNÉRAL DU FRONT NATIONAL QUI EXPLIQUENT LA DROITE FORTE C EST L ARNADE DE L ÉTÉ EN FAIT UNE PITOYABLE REFUSSÉE DE LA DROITE POPULAIRE
MAIS VOUS DITES QU' ILS NOUS ONT RÉPONDU MAIS NOUS ON LEUR A PAS PARLÉ	MAIS VOUS DIT QU ILS ONT RÉPONDU MAIS NON L AURA PAS PARLÉ
NOUS ON PARLE AUX FRANÇAIS ON PARLE AUX ÉLECTEURS ON PARLE AU COEUR DU PEUPLE MILITANT ET JUSTEMENT	NOUS PARLONS FRANÇAIS ELLE SERVIOLA JUSQU À AUX ÉLECTEURS ON PARLE AU CŒUR DU PEUPLE MILITANT ET JUSTEMENT
